"carat","cut","color","clarity","depth","table","price","x","y","z"
1.51,"Premium","D","SI1",61.6,57,12738,7.41,7.32,4.54
0.41,"Ideal","F","VVS2",60.1,57,1115,4.83,4.85,2.91
2.42,"Premium","J","SI2",62.3,58,16198,8.63,8.55,5.35
1.57,"Premium","H","VS1",61.7,58,10880,7.47,7.56,4.64
0.32,"Ideal","F","VS2",61.2,56,828,4.44,4.41,2.71
0.32,"Ideal","F","VS1",61.6,57,716,4.39,4.42,2.71
1.05,"Good","D","SI2",60,63,4560,6.59,6.64,3.97
0.55,"Very Good","F","VS2",61.6,56.1,1777,5.29,5.31,3.27
2.18,"Very Good","E","I1",62,60,10340,8.25,8.33,5.14
0.43,"Premium","D","VS2",60.7,58,1056,4.84,4.88,2.95
0.57,"Ideal","F","VVS2",61.7,56,2402,5.31,5.35,3.29
1.59,"Ideal","I","SI1",62.1,57,8835,7.48,7.46,4.64
1.29,"Ideal","I","VS2",62.7,57,6509,6.97,6.91,4.35
1.21,"Ideal","H","SI1",60.7,57,7810,6.85,6.89,4.17
1.06,"Ideal","H","SI2",59.9,58,4749,6.67,6.63,3.98
0.34,"Very Good","D","SI1",62.8,55,626,4.45,4.5,2.81
0.34,"Premium","D","SI2",59.2,59,507,4.54,4.58,2.7
1.01,"Good","D","SI1",63.9,60,5055,6.29,6.32,4.03
0.71,"Premium","F","SI1",59.8,61,2633,5.81,5.79,3.47
1.02,"Ideal","H","SI2",60.5,57,4297,6.52,6.56,3.95
0.68,"Ideal","D","VVS1",61.3,57,4325,5.66,5.69,3.48
0.41,"Good","E","VVS1",63.5,57,1002,4.73,4.75,3.01
0.5,"Premium","D","VS2",61.4,59,1752,5.11,5.15,3.15
0.41,"Ideal","D","SI1",61.4,56,791,4.77,4.8,2.94
1,"Very Good","E","VVS2",59.5,59,9139,6.54,6.58,3.9
0.31,"Premium","F","VS2",61.8,59,802,4.33,4.31,2.67
0.3,"Ideal","D","SI1",61.8,56,508,4.31,4.33,2.67
0.44,"Very Good","E","VVS2",59.6,59,1337,4.98,4.99,2.97
0.8,"Ideal","D","SI2",61.9,54,3210,5.95,6,3.7
1.18,"Ideal","E","I1",61.6,56,4229,6.82,6.79,4.19
0.31,"Ideal","H","VVS2",62.8,57,802,4.33,4.3,2.71
0.55,"Ideal","F","SI2",61.2,56,1263,5.29,5.23,3.22
1.02,"Ideal","H","SI2",61.9,56,4353,6.47,6.51,4.02
1.55,"Very Good","G","SI1",59.2,59,10707,7.51,7.59,4.47
1,"Ideal","H","SI2",61.4,60,4713,6.35,6.41,3.92
0.36,"Premium","E","VS2",62,58,789,4.54,4.56,2.82
1,"Ideal","E","VS2",62,55,6043,6.42,6.38,3.97
0.31,"Very Good","F","SI1",60.7,58,516,4.35,4.38,2.65
