time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2018-01-28T01:21:59.740Z,61.7465,-148.196,16.8,1.1,ml,,,,0.27,ak,ak18213723,2018-01-28T01:28:17.490Z,"34km E of Sutton-Alpine, Alaska",earthquake,,0.2,,,automatic,ak,ak
2018-01-28T01:15:07.300Z,33.6996667,-116.7061667,16.39,0.81,ml,29,44,0.01327,0.22,ci,ci38093760,2018-01-28T01:18:46.126Z,"5km SSE of Idyllwild, CA",earthquake,0.38,0.54,0.179,26,automatic,ci,ci
2018-01-28T01:13:46.305Z,57.4882,-152.9066,2.7,2.4,ml,,,,0.69,ak,ak18213716,2018-01-28T01:17:09.613Z,"35km SSW of Kodiak Station, Alaska",earthquake,,6.1,,,automatic,ak,ak
2018-01-28T01:10:27.145Z,63.4586,-151.1651,0,1.3,ml,,,,0.47,ak,ak18213708,2018-01-28T01:23:42.018Z,"110km W of Cantwell, Alaska",earthquake,,0.5,,,automatic,ak,ak
2018-01-28T01:03:36.250Z,33.9628333,-116.7676667,18.82,1.49,ml,37,43,0.05083,0.18,ci,ci38093744,2018-01-28T01:14:10.380Z,"5km NNE of Cabazon, CA",earthquake,0.3,0.5,0.19,26,automatic,ci,ci
2018-01-28T01:03:24.580Z,33.9618333,-116.7708333,17.73,1.22,ml,31,44,0.04921,0.16,ci,ci38093736,2018-01-28T01:07:06.475Z,"5km NNE of Cabazon, CA",earthquake,0.29,0.61,0.169,27,automatic,ci,ci
2018-01-28T00:44:48.773Z,61.72,-148.1758,0.1,2.8,ml,,,,1.07,ak,ak18213169,2018-01-28T00:57:44.771Z,"36km ESE of Sutton-Alpine, Alaska",earthquake,,0.9,,,automatic,ak,ak
2018-01-28T00:34:44.370Z,55.5098,166.3895,10,4.3,mb,,160,5.174,0.8,us,us2000cqi0,2018-01-28T00:51:52.040Z,"43km NE of Nikol'skoye, Russia",earthquake,13.1,1.9,0.088,37,reviewed,us,us
2018-01-28T00:32:23.400Z,35.993,-120.8943329,10.09,1.81,md,34,70,0.03206,0.08,nc,nc72959761,2018-01-28T01:03:03.498Z,"3km SSE of San Ardo, CA",earthquake,0.33,0.62,0.27,17,automatic,nc,nc
2018-01-28T00:15:10.522Z,41.9255,-119.5828,14.7,2.4,ml,8,79.29,0.649,0.2818,nn,nn00619842,2018-01-28T00:33:50.954Z,"69km ESE of Lakeview, Oregon",earthquake,,6.9,0.16,3,reviewed,nn,nn
2018-01-28T00:11:32.880Z,52.3532,-168.6308,37.53,5.1,mb,,148,0.903,1.07,us,us2000cqhr,2018-01-28T00:44:35.456Z,"67km SSE of Nikolski, Alaska",earthquake,9.3,7.4,0.052,122,reviewed,us,us
2018-01-28T00:10:12.430Z,52.3344,-168.507,26.71,4.3,mb,,190,0.978,1.13,us,us2000cqhs,2018-01-28T00:39:42.040Z,"71km SSE of Nikolski, Alaska",earthquake,15,11.9,0.169,10,reviewed,us,us
2018-01-28T00:08:53.960Z,55.5503,166.3905,10,5.1,mb,,97,5.192,0.84,us,us2000cqhi,2018-01-28T00:23:03.040Z,"47km NNE of Nikol'skoye, Russia",earthquake,9.6,1.9,0.035,271,reviewed,us,us
2018-01-28T00:07:10.675Z,39.7811,-120.6577,12.8,0.2,ml,7,88.4,0.05,0.1109,nn,nn00619847,2018-01-28T00:36:56.097Z,"16km WSW of Portola, California",earthquake,,6.4,0,1,reviewed,nn,nn
2018-01-28T00:05:46.493Z,64.9902,-147.3884,0,1.4,ml,,,,0.83,ak,ak18212597,2018-01-28T00:11:57.496Z,"22km NNE of Badger, Alaska",earthquake,,0.4,,,automatic,ak,ak
2018-01-27T23:53:10.627Z,36.465,-116.5625,7.8,1,ml,19,104.17,0.142,0.1801,nn,nn00619845,2018-01-28T00:27:39.486Z,"52km SSE of Beatty, Nevada",earthquake,,2.6,0.6,7,reviewed,nn,nn
2018-01-27T23:51:20.640Z,55.4689,166.4758,10,4.9,mb,,107,5.201,0.72,us,us2000cqhb,2018-01-28T00:08:59.040Z,"43km NE of Nikol'skoye, Russia",earthquake,6.1,1.7,0.041,184,reviewed,us,us
2018-01-27T23:45:43.221Z,55.9848,-149.6904,8,3.8,ml,,,,0.93,ak,ak18212566,2018-01-28T00:37:12.623Z,"260km SE of Kodiak, Alaska",earthquake,,5.2,,,reviewed,ak,ak
2018-01-27T23:42:36.140Z,33.5053333,-116.792,5.93,1.46,ml,50,30,0.07534,0.19,ci,ci38093696,2018-01-27T23:53:51.910Z,"10km NE of Aguanga, CA",earthquake,0.18,0.73,0.095,26,automatic,ci,ci
2018-01-27T23:41:31.940Z,37.644001,-118.9456635,3.39,0.7,md,7,128,0.02249,0.02,nc,nc72959746,2018-01-28T00:32:02.600Z,"3km ENE of Mammoth Lakes, CA",earthquake,1.35,2.95,0.21,8,automatic,nc,nc
2018-01-27T23:40:50.310Z,48.6373333,-121.7591667,3.69,1.78,ml,3,189,0.1741,0,uw,uw61345147,2018-01-28T00:59:37.950Z,"20km NW of Rockport, Washington",earthquake,0.89,31.61,0.296,4,reviewed,uw,uw
2018-01-27T23:19:15.250Z,37.5844994,-118.8446655,1.39,1.43,md,16,145,0.01353,0.1,nc,nc72959741,2018-01-28T00:05:02.365Z,"13km ESE of Mammoth Lakes, CA",earthquake,0.4,0.66,0.12,13,automatic,nc,nc
2018-01-27T23:15:51.832Z,59.8336,-152.5076,83.1,1.7,ml,,,,0.24,ak,ak18212541,2018-01-27T23:20:26.339Z,"38km W of Anchor Point, Alaska",earthquake,,0.6,,,automatic,ak,ak
2018-01-27T23:15:14.620Z,56.1303,-149.4329,20.21,3.3,ml,,211,2.392,0.55,us,us2000cqh8,2018-01-27T23:24:07.040Z,"258km SE of Kodiak, Alaska",earthquake,10.2,10.9,0.071,26,reviewed,us,us
2018-01-27T23:08:56.180Z,47.3856667,-123.8841667,27.59,2.49,ml,10,139,0.1367,0.15,uw,uw61345142,2018-01-28T00:58:01.140Z,"9km SSW of Quinault Census Designated Place, Washington",earthquake,1.4,0.78,0.288,6,reviewed,uw,uw
2018-01-27T23:03:50.400Z,55.933,-149.7948,6.12,3.7,ml,,190,2.324,0.51,us,us2000cqh7,2018-01-27T23:18:17.040Z,"261km SE of Kodiak, Alaska",earthquake,9.2,8,0.064,32,reviewed,us,us
2018-01-27T22:49:56.040Z,55.6125,166.2271,10,4.5,mb,,160,5.137,0.97,us,us2000cqh6,2018-01-27T23:11:35.040Z,"48km NNE of Nikol'skoye, Russia",earthquake,7.7,1.9,0.076,51,reviewed,us,us
2018-01-27T22:49:36.660Z,31.6973333,-115.9608333,14.78,2.54,ml,4,151,0.3067,0.05,ci,ci38093664,2018-01-27T23:40:14.773Z,"57km E of Maneadero, B.C., MX",earthquake,0.44,0.96,0.291,20,automatic,ci,ci
2018-01-27T22:48:42.750Z,55.7454,-149.1724,10.59,3.7,ml,,185,2.72,0.73,us,us2000cqh3,2018-01-27T23:01:32.040Z,"Gulf of Alaska",earthquake,7.7,7.8,0.064,32,reviewed,us,us
2018-01-27T22:39:29.078Z,61.4204,-152.2429,4.1,1.4,ml,,,,0.71,ak,ak18211998,2018-01-27T22:44:10.686Z,"96km NNW of Nikiski, Alaska",earthquake,,0.2,,,automatic,ak,ak
2018-01-27T22:32:30.820Z,38.8219986,-122.8564987,1.95,0.92,md,17,89,0.005546,0.03,nc,nc72959736,2018-01-27T22:55:03.223Z,"10km WNW of The Geysers, CA",earthquake,0.31,0.45,0.1,5,automatic,nc,nc
2018-01-27T22:26:09.357Z,60.2731,-146.7829,26,1.9,ml,,,,0.87,ak,ak18211988,2018-01-27T22:30:20.222Z,"64km WSW of Cordova, Alaska",earthquake,,0.2,,,automatic,ak,ak
2018-01-27T22:18:35.340Z,19.3846664,-155.2369995,2.28,1.73,ml,23,91,0.01155,0.22,hv,hv70023162,2018-01-27T22:24:06.840Z,"5km S of Volcano, Hawaii",earthquake,0.35,0.42,0.08,3,automatic,hv,hv
2018-01-27T22:13:18.450Z,38.8173332,-122.8061676,2.89,1,md,14,100,0.006779,0.04,nc,nc72959716,2018-01-27T23:39:03.308Z,"6km NW of The Geysers, CA",earthquake,0.39,0.6,0.22,3,automatic,nc,nc
2018-01-27T22:08:38.390Z,38.8574982,-122.7949982,1.21,0.58,md,9,221,0.003123,0.03,nc,nc72959706,2018-01-27T22:23:02.748Z,"7km WNW of Cobb, CA",earthquake,0.91,0.74,,1,automatic,nc,nc
2018-01-27T21:47:42.540Z,38.7574997,-122.7291641,2.09,0.89,md,7,230,0.0183,0.03,nc,nc72959681,2018-01-27T23:10:02.253Z,"3km SE of The Geysers, CA",earthquake,1.03,1.19,0.06,3,automatic,nc,nc
2018-01-27T21:45:13.530Z,7.3118,-79.703,10,5.7,mww,,58,1.847,0.94,us,us2000cqgn,2018-01-28T01:01:46.163Z,"43km SE of Pedasi, Panama",earthquake,5.9,1.8,0.068,21,reviewed,us,us
2018-01-27T21:39:02.430Z,37.6455002,-118.9443359,3.98,0.91,md,7,128,0.02082,0.03,nc,nc72959676,2018-01-27T23:28:36.718Z,"3km ENE of Mammoth Lakes, CA",earthquake,1.52,2.82,0.12,7,automatic,nc,nc
2018-01-27T21:36:08.894Z,61.4966,-146.4313,19.9,2.8,ml,,,,0.74,ak,ak18211444,2018-01-27T21:50:01.121Z,"41km N of Valdez, Alaska",earthquake,,0.4,,,automatic,ak,ak
2018-01-27T21:34:21.970Z,33.5185,-116.793,4.88,0.85,ml,33,39,0.06597,0.18,ci,ci38093648,2018-01-27T21:37:58.505Z,"11km NE of Aguanga, CA",earthquake,0.21,1.1,0.163,28,automatic,ci,ci
2018-01-27T21:16:11.130Z,38.8193321,-122.8028336,2.05,1.4,md,17,95,0.00696,0.04,nc,nc72959671,2018-01-27T22:16:11.733Z,"6km NW of The Geysers, CA",earthquake,0.29,0.53,0.18,5,automatic,nc,nc
2018-01-27T21:07:41.307Z,38.3782,-118.9015,9.8,0.9,ml,6,123.72,0.329,0.095,nn,nn00619841,2018-01-28T00:15:01.294Z,"29km SW of Hawthorne, Nevada",earthquake,,20.8,0.51,3,reviewed,nn,nn
2018-01-27T21:06:37.180Z,33.4486667,-115.904,1.37,1.33,ml,8,210,0.4246,0.14,ci,ci38093640,2018-01-27T21:10:20.268Z,"9km SSE of North Shore, CA",earthquake,1.4,31.61,0.425,19,automatic,ci,ci
2018-01-27T21:05:54.960Z,38.7716675,-122.7365036,0.86,0.93,md,7,172,0.01155,0.02,nc,nc72959666,2018-01-27T21:47:02.667Z,"2km ESE of The Geysers, CA",earthquake,0.47,0.68,0.35,3,automatic,nc,nc
2018-01-27T20:46:15.520Z,-32.0677,-179.9811,326.59,4.4,mb,,140,3.323,1.03,us,us2000cqg4,2018-01-27T22:33:33.040Z,"124km SW of L'Esperance Rock, New Zealand",earthquake,14,8.4,0.109,24,reviewed,us,us
2018-01-27T20:43:52.450Z,34.1903333,-117.5975,11.86,1.22,ml,31,57,0.06999,0.15,ci,ci38093632,2018-01-27T20:47:37.401Z,"8km NNW of Rancho Cucamonga, CA",earthquake,0.32,0.51,0.181,26,automatic,ci,ci
2018-01-27T20:41:20.346Z,64.5323,-148.5487,4.2,0.6,ml,,,,0.25,ak,ak18210924,2018-01-27T20:48:05.448Z,"27km E of North Nenana, Alaska",earthquake,,3.2,,,automatic,ak,ak
2018-01-27T20:29:50.230Z,34.2285,-117.4675,9.66,1.06,ml,26,56,0.03447,0.18,ci,ci38093624,2018-01-27T20:33:34.068Z,"4km SE of Lytle Creek, CA",earthquake,0.34,0.49,0.162,27,automatic,ci,ci
2018-01-27T20:26:29.970Z,-15.9314,-74.529,10,4.7,mb,,156,4.518,1.12,us,us2000cqg2,2018-01-27T23:05:08.589Z,"56km S of Acari, Peru",earthquake,7.9,1.9,0.127,19,reviewed,us,us
2018-01-27T20:15:12.080Z,33.8921667,-116.9866667,29.4,1.22,ml,13,70,0.1612,0.3,ci,ci38093616,2018-01-27T20:18:55.834Z,"4km SSW of Beaumont, CA",earthquake,1.28,0.95,0.379,30,automatic,ci,ci
2018-01-27T19:55:54.900Z,34.0116667,-118.103,7.34,1.51,ml,9,169,0.2347,0.36,ci,ci38093608,2018-01-27T19:59:37.101Z,"0km NE of Montebello, CA",earthquake,1.82,31.61,0.244,13,automatic,ci,ci
2018-01-27T19:43:30.510Z,40.1298,142.3581,51.13,5.1,mb,,146,1.186,0.9,us,us2000cqfs,2018-01-27T22:07:39.040Z,"64km NNE of Miyako, Japan",earthquake,6.9,8,0.068,70,reviewed,us,us
2018-01-27T18:46:25.870Z,19.5758343,-155.3125,6.15,2.67,ml,50,63,0.1076,0.27,hv,hv70023052,2018-01-27T22:42:23.040Z,"18km NNW of Volcano, Hawaii",earthquake,0.43,1,3.36,26,automatic,hv,hv
2018-01-27T18:44:00.566Z,56.1283,-149.6542,1.3,2.9,ml,,,,0.56,ak,ak18210384,2018-01-27T22:24:40.040Z,"247km SE of Kodiak, Alaska",earthquake,,5.3,,,reviewed,ak,ak
2018-01-27T18:42:14.050Z,33.9898333,-117.9648333,20.41,1.79,ml,7,176,0.1139,0.19,ci,ci38093584,2018-01-27T18:46:26.686Z,"0km SE of Hacienda Heights, CA",earthquake,1.36,2.55,0.214,25,automatic,ci,ci
2018-01-27T18:39:39.303Z,57.098,-149.2195,38.4,2.8,ml,,,,0.81,ak,ak18210379,2018-01-27T18:55:09.459Z,"206km ESE of Kodiak, Alaska",earthquake,,1.6,,,automatic,ak,ak
2018-01-27T18:37:25.570Z,34.323,-117.9885,3.22,1.63,ml,8,104,0.2433,0.32,ci,ci38093576,2018-01-27T18:41:16.652Z,"19km NNE of Sierra Madre, CA",earthquake,1.09,31.61,0.242,15,automatic,ci,ci
2018-01-27T18:35:46.000Z,37.6518326,-118.9418335,6.09,0.78,md,8,127,0.01428,0.01,nc,nc72959641,2018-01-27T18:58:03.374Z,"4km ENE of Mammoth Lakes, CA",earthquake,0.86,0.54,0.19,8,automatic,nc,nc
2018-01-27T18:10:20.563Z,39.3281,-119.9454,8.4,0.6,ml,11,86.09,0.079,0.1378,nn,nn00619833,2018-01-27T20:14:44.597Z,"8km NNE of Incline Village, Nevada",earthquake,,2.9,0.7,6,reviewed,nn,nn
2018-01-27T18:06:45.610Z,56.3869,-148.864,18.53,3.6,mb,,181,3.391,1.15,us,us2000cqej,2018-01-27T22:10:16.259Z,"265km SE of Kodiak, Alaska",earthquake,8.7,8.9,0.5,1,reviewed,us,us
2018-01-27T18:04:41.690Z,33.6595,-116.7316667,13.44,0.99,ml,29,60,0.05356,0.14,ci,ci38093568,2018-01-27T18:08:26.449Z,"9km S of Idyllwild, CA",earthquake,0.25,0.38,0.26,27,automatic,ci,ci
2018-01-27T18:04:12.600Z,37.6156654,-118.8190002,2.94,1.19,md,14,79,0.01984,0.03,nc,nc72959621,2018-01-27T19:17:03.400Z,"14km WNW of Toms Place, CA",earthquake,0.52,0.37,0.14,13,automatic,nc,nc
